f,h,R_0,R_n,E_phi,E_psi,P,Q,N_0,N_n
[38 73],[45 24],102,68,[90 56],[11 83],[[ 24 100  50 100]; [ 50  10  34  40]],[[ 16   4  12  72]; [102  20  36  86]],[66 68  2 20],[14 86 56 16]
[75 51],[34 85],66,10,[96 37],[27 87],[[98 36 68 44]; [44 72 16 86]],[[86 58 36 12]; [42 80 88 94]],[ 52 100 100  28],[48 78 44 54]
[ 45 100],[ 77 101],94,56,[ 74 100],[46 11],[[ 64  48  48  14]; [ 20  20 104  28]],[[  0  18  76  60]; [ 48 100  40  50]],[90 66 30  4],[94 78 36 24]
[42 64],[42 80],58,28,[76 56],[84 15],[[ 14  60 102  54]; [100  62  42  84]],[[ 74  66  24  38]; [104  78  54  88]],[ 6 10 98 20],[52 44 38 88]
[22 71],[11 88],10,42,[26 81],[ 85 100],[[ 86  36  46  42]; [ 36   0  68 102]],[[ 8 26 76  8]; [10 94 96 72]],[ 0 64 30 18],[74 96  0 46]
[50 89],[40 86],34,6,[25 84],[54 24],[[ 88   0  48  50]; [104  14  94  14]],[[56 64 46  0]; [70 18 88 82]],[48 14 26 46],[ 78  12   4 104]
[11 63],[ 7 70],8,34,[76 39],[38  9],[[ 20  64  32 100]; [ 66  22  36  38]],[[102  96  98  80]; [  6  24  98  34]],[ 44   0  18 102],[ 96  48 104  38]
[98 47],[43 17],66,62,[ 6 28],[ 49 100],[[68 36 58 28]; [82 92  8 12]],[[38 58 46 20]; [82 28 94 50]],[ 0 66 84  6],[70 16 34 50]
[38  6],[67 46],20,102,[38  6],[65 22],[[20 24  4 10]; [90 64  0 96]],[[98  8 38  4]; [32 44 12 20]],[22 58 22 48],[30 24 42 34]
[75 61],[ 4 46],20,50,[68  9],[ 46 101],[[80 78 34 32]; [38 82 44  2]],[[ 26  18  98  68]; [102   0  32  76]],[ 8 74 10 98],[68  8 38 14]
[61 34],[54 55],66,26,[60 70],[13 69],[[ 6 58 42 18]; [16 86 62 50]],[[ 10  56  90  16]; [ 28 104  78  86]],[90 32  0 74],[44 36  4 10]
[30 72],[39 79],16,76,[54 13],[65 81],[[ 30  54  24  68]; [100  62  86  38]],[[42  6 46 90]; [94 74  8 38]],[60 74 74 50],[ 26   4 104  76]
[21 42],[83 60],20,54,[90 82],[60 87],[[20 60  8 66]; [42 14 44 74]],[[70 80 46 88]; [18 54 94 28]],[68 14 46 22],[42 24 34 56]
[78 64],[82 40],62,38,[102  64],[58 63],[[  0  96  50  24]; [ 20 102  16  38]],[[ 76  46  18  88]; [ 48  82 102  98]],[90 50 56 40],[52 22 66 76]
[13 30],[40 27],44,82,[64 14],[54 74],[[ 28  22  72  34]; [ 34 104  94  14]],[[44 52 82 22]; [30 86 54 54]],[  4  70  82 100],[36 74 46 82]
[76 66],[49 79],48,44,[ 98 102],[ 16 102],[[ 8 84 62 38]; [40 34  8 58]],[[ 8 84 48 56]; [58 28 32 10]],[ 4 30  6 30],[ 30  18 100  68]
[99 84],[55 44],70,34,[57 61],[100  35],[[ 10  34  44  62]; [ 90  60  58 104]],[[38 36 84 34]; [24 46 28 84]],[54 18 42 22],[ 62  38 102  82]
[65 40],[81 53],58,36,[ 8 99],[35 59],[[ 60 104  70  12]; [ 96 100   8  20]],[[ 76  50   0  92]; [ 16 100  92 100]],[92 76 68 16],[ 84 102  26 102]
[ 6 62],[56 90],60,88,[ 59 104],[80 32],[[ 64   2 104  18]; [ 24  64   4  10]],[[88 12 32 58]; [32 80 24 16]],[68  2 56 34],[102  38  44  68]
[46 35],[ 0 16],94,94,[41 73],[25 18],[[18 94 26 90]; [70 84 48 60]],[[ 98  90  66  86]; [ 32   8 104  88]],[100  52  24  12],[16 70 90  0]
[53  1],[43 41],56,42,[38 94],[96 68],[[  6  66  28  74]; [ 46 104  42  54]],[[ 60   4  16  42]; [104  96  62  20]],[14 66 28 74],[66 24 62 66]
[69 73],[ 6 55],4,72,[54 23],[58 85],[[ 58  38  68  82]; [ 56 100  50  96]],[[36  8 86 44]; [62 88 12 62]],[46 44 30 90],[58  8 16 76]
[ 3 52],[21 55],56,68,[70 89],[21 98],[[ 42   8  84 104]; [ 44  44  32 100]],[[ 26  80  60   8]; [ 16  74  42 104]],[86 78 42 30],[76 74 88 88]
[56 19],[34 92],38,52,[37 22],[77 95],[[ 68  72 104  60]; [ 50  68  14  72]],[[26 16 38 84]; [80 36 32 62]],[ 6 74 82 44],[34 44 22 48]
[ 8 38],[18 30],66,30,[ 6 37],[54 69],[[54 32 76 42]; [76 48 28 26]],[[ 58  20  92 102]; [ 40  52  44  16]],[88 96 68 18],[18 68 78  4]
[13 35],[35 27],2,10,[43 64],[87 65],[[60 82 14 82]; [68 44 60 38]],[[42 52 86 82]; [30 40  4 66]],[98  0 82 50],[20 70 20 22]
[ 72 103],[82 65],26,68,[30 84],[76 62],[[98 74 44 94]; [16  6 30 60]],[[76 40 90 82]; [18 98 44 76]],[12 76 38 98],[66 92 58 22]
[71 38],[60 47],58,18,[75 68],[66  1],[[58 58 66 92]; [66 74 30 44]],[[88 32 80 16]; [20 96 86 14]],[32 82 56 82],[ 62  74 104  56]
[94 94],[19 21],96,82,[  7 101],[52 34],[[ 4 58 82  8]; [84 58 60 68]],[[ 98  72  34  94]; [ 38 100  72  38]],[88 30 72 48],[44 72 50 82]
[95 89],[73 67],26,6,[48 81],[20 25],[[102  54   4  70]; [ 90  96  92  18]],[[92  0 90  4]; [88 38  2 68]],[60 66 58 34],[46 94  2 80]
[14 27],[47 98],76,80,[26 26],[10  7],[[ 16  84  80 104]; [ 54  78  80  52]],[[72  4 98  8]; [70 58 42 46]],[ 86 104  38  18],[56 38 80 56]
[ 37 104],[53  7],98,16,[78 91],[43 40],[[54 40  6 22]; [94 76 88 32]],[[ 4  0 50 26]; [60 88 52 16]],[102   0   4  36],[54 42 82 34]
[33  8],[36 65],14,70,[ 0 14],[61 61],[[52 88 44  4]; [84 26 82 78]],[[74 84 94 98]; [28  2 58 46]],[22 50 80 50],[ 6 30  2 36]
[26 20],[70 34],88,60,[17 81],[19 90],[[48 10 58 22]; [38 90 84 36]],[[10  6 38 50]; [44 22 54 78]],[36 36 78  6],[104  88   0   6]
[28 98],[39 54],56,82,[103  74],[78 45],[[84 66 86 58]; [14  0 94 90]],[[20  4 60 22]; [50 58 96 62]],[ 34 104  50  84],[60 50 20 38]
[59 78],[38 30],24,40,[38 71],[24 82],[[ 82  88  94  74]; [102  84  62  16]],[[90 54 72 50]; [64 70 66  6]],[48  8 32 94],[56 98 58 26]
[47 44],[17 32],26,74,[14 62],[53 86],[[32 66 86 60]; [74 92 96 30]],[[80 36 28 68]; [46 26 12 54]],[24 10 70 36],[ 76  66  44 100]
[40 32],[93 83],66,58,[30 43],[25 32],[[ 60  84 102  64]; [ 90  18  76  22]],[[88 66 86 62]; [16  2 40 98]],[70 94 24 68],[ 46 104  56  24]
[ 7 52],[ 3 97],56,22,[72 61],[73 65],[[ 18  50  72 102]; [ 88  88  10  42]],[[ 88  42  66  82]; [ 62   8 104  30]],[104   4  90  58],[ 10  26  34 104]
[29 23],[83 24],96,16,[69 68],[78 67],[[104 104  14  48]; [ 58  78  12 100]],[[104  14  60  60]; [102  24  88  64]],[56 98 80 16],[ 14  66  24 104]
[88 86],[50  6],54,6,[74  1],[76 59],[[48 64 52 36]; [ 8 32 66 46]],[[ 68  98  54 102]; [ 36  66   8   2]],[28 82 36 22],[16  8 48  0]
[104  64],[ 7 80],32,70,[39 49],[42 66],[[ 46  84  84  40]; [  8  42 102  26]],[[38 30 28 98]; [60 36 36 10]],[78 44 22  8],[16 78 82 98]
[ 0 89],[89 99],38,16,[85  1],[10  0],[[76 96 12 98]; [ 2 34 78 42]],[[92 92 30 14]; [62 98 78 68]],[30 38 18 94],[ 4 74 68 96]
[95 97],[28 43],96,28,[15 31],[103  19],[[102  68  64  96]; [ 28 104  24  92]],[[44 56 52 58]; [78 54  8 96]],[102  34  62  42],[20 70 94 30]
[90 97],[80 89],34,46,[ 7 39],[18 14],[[68 92 76 94]; [ 4 74 54 40]],[[ 0 90 44 34]; [80 14 98 20]],[80 90 32 94],[22 98 24 14]
[21 63],[56 15],86,66,[18 63],[59 75],[[14 76 22 28]; [40 76 56 54]],[[ 4 66 92 94]; [94  8 44 46]],[34 10 98 16],[100   4  62  58]
[88 81],[58 28],46,84,[38 12],[50 82],[[ 52  46  74 104]; [ 40  50  80  68]],[[ 32  50  72   2]; [100 102  64   4]],[40 26 46 58],[32 72 86  8]
[54 17],[ 0 54],50,2,[46 37],[69 58],[[ 90  46  34  36]; [ 48  88 100  38]],[[ 64  90  58  40]; [ 86 100  16  38]],[68 24 72 46],[ 0  8 50  0]
[89 97],[ 8 43],90,48,[25 20],[17 28],[[92 62 26  6]; [38 14 14 12]],[[ 28  54  38  56]; [ 88 100  66  64]],[ 6 82 98 82],[84 44  2 10]
[74 25],[84  7],26,80,[99 46],[34 54],[[102  42  42   4]; [ 54  48  80  70]],[[104  22  34   6]; [ 90   0 100  80]],[52 18 66 88],[18 64 68 20]
[16 56],[97 70],32,102,[ 84 104],[ 1 18],[[ 52 100  80   0]; [ 96  16  72  28]],[[ 44  46  24  72]; [102  14  86  10]],[26 84 68 22],[92  4 30 34]
[40 54],[81 62],26,76,[70 77],[54 30],[[64 46 34 14]; [90 92 82 86]],[[36 60 32 94]; [12 58 12 86]],[18 32 90 32],[104  54  88  78]
[84 35],[39 20],66,66,[36 39],[56 71],[[ 38   2  44  82]; [ 42  78  10 102]],[[ 60   2  78  24]; [  8 104  76  96]],[96 76 84 76],[82 22 78 16]
[19 84],[72 29],52,22,[92 96],[80 86],[[26 24 58 20]; [26 10 64 50]],[[44 88 86 88]; [98 30 30  4]],[ 8 14 96 12],[66 78 92 84]
[30 94],[83 41],14,22,[33 60],[41 67],[[ 28  60  24  90]; [ 86  34 102  42]],[[80 64 68 96]; [72  8 24 66]],[24 36  4 68],[96 98 12 76]
[75 37],[97 49],6,42,[36 32],[26 83],[[84 50 74 94]; [14 22 34 94]],[[ 0 50 22 50]; [32 88 22 86]],[22 34 70 46],[18 24 30 84]
[6 9],[65 47],94,22,[ 42 103],[ 77 102],[[ 38  38 104  66]; [ 36  80  40  32]],[[32  4 96 68]; [20  0  6 96]],[  2  94 104  48],[30 94 54 86]
[ 5 16],[86 74],66,74,[17 54],[65 71],[[20 42 98 18]; [44  4 24 48]],[[102  40  82 102]; [ 96  30  24 102]],[10 30  8 70],[ 94  96 104  86]
[84 32],[ 15 100],38,78,[65 86],[91 72],[[16 66 64 22]; [78 70 74 16]],[[90 92 70 54]; [ 0 34 46  0]],[54 54 86 36],[98 20 88 30]
[23 27],[99 21],52,50,[ 9 72],[47 68],[[28 50 22 68]; [70 78  0 84]],[[104  92  60  26]; [ 34  96  82  56]],[92 46 20  6],[18 38 18 52]
[80 61],[81 28],66,62,[20 88],[80 57],[[82 72 96 56]; [18 84 82 80]],[[102  24  86  26]; [ 22  46  70  54]],[58 96 68 94],[88 92 50 62]
[57 39],[23 84],6,68,[83 18],[28 31],[[16 40 12 70]; [40 22 76 20]],[[38 34 42  4]; [14 84 94 28]],[104  84   4  36],[36 90 24 16]
[11 31],[42 20],42,14,[102  41],[59 83],[[ 84  70  72  42]; [ 94  90 104  86]],[[34 26 80 86]; [72 58 18 66]],[24 32 56 62],[98 40 34 30]
[58 62],[101  93],28,60,[82 57],[101  68],[[102  74  72  88]; [ 98  72  20  50]],[[20 92 28  6]; [28 28 78 52]],[78 22 60 78],[90 72 94 62]
[89 67],[44 80],80,72,[15 73],[97 39],[[52  2 10 46]; [64 66 64 26]],[[ 86  14   2  76]; [ 36  90   6 104]],[62 18 24 10],[52 64 80 50]
[ 7 93],[102  54],78,54,[85 43],[90 35],[[92 78 78 28]; [32 74 70 78]],[[ 12  56   4  22]; [100  44  62  78]],[ 14  98 100  58],[94 30 64 54]
[35 74],[37 47],48,66,[5 0],[86 53],[[38 44 44 48]; [92  8 38 32]],[[ 20  34  76  64]; [ 32 102  64  18]],[48 38 24 10],[ 0 38 96 58]
[72 88],[55 65],20,70,[89 11],[99  2],[[  6 104  36  42]; [102  78  36  92]],[[ 40  62  74  66]; [ 86  44  96 100]],[94 38 64 74],[ 4 66 46 60]
[98 96],[13 18],8,32,[92  9],[95 96],[[ 62  58  82  94]; [ 66  80 102  86]],[[96 98 44 52]; [34 28 28 14]],[76 30 90 72],[70 38 46  2]
[12 25],[ 84 103],24,98,[ 4 49],[ 5 16],[[86 18 72 18]; [58 46 28 92]],[[78 62 56 22]; [82 30 36  6]],[34 22 80 38],[10 44 28 50]
[50 28],[94 43],72,12,[36 15],[57 58],[[86 34 76 90]; [24 20 38 66]],[[  6   6  60  78]; [  6 100  74  80]],[ 0 46 76 86],[ 38  72 102  46]
[15 87],[ 2 17],36,46,[ 1 76],[16  4],[[32 26  6 96]; [62 28  8 72]],[[84 56 68 16]; [22 58  0 42]],[42 18  8 94],[14 88  2 20]
[ 3 60],[82 73],46,94,[  9 104],[98 58],[[104  36  52  98]; [  6  34   0  20]],[[56 84  0  4]; [46 52 34 54]],[98 40 78 58],[84 52 58 94]
[53 67],[ 6 64],4,60,[44 56],[38 25],[[66 42 24 82]; [48 36 20 22]],[[72 98 48 10]; [56 64 14 52]],[40 56 32 74],[ 38 104  64  50]
[11 50],[88  4],40,2,[46 58],[36 10],[[102  78 100  12]; [104  58  30  42]],[[104  46  92  76]; [ 50  68  10  84]],[10 56 22 66],[98  6 60 10]
[ 4 66],[88 43],36,40,[64 27],[49 85],[[30 30 20 32]; [42 16 96 52]],[[12  6 34 10]; [32 38 40 22]],[70 96 58 72],[62 72 96 12]
[64  4],[96 67],34,36,[22 66],[67 97],[[ 22  64  30  14]; [ 20  58  72 100]],[[ 0 44 94  6]; [92 66 18 44]],[94 30  4 82],[ 28 102  32  84]
[69 30],[57 52],86,4,[54 33],[74 38],[[ 2 78 38  6]; [56  8 12 40]],[[ 66  70   2  64]; [ 30  80  16 102]],[16 84 74 16],[56 22 88 24]
[86 47],[ 6 71],54,78,[92 78],[12 66],[[94  4  0 94]; [38 34 12  4]],[[42 90 74 20]; [40 52 68 22]],[62 16 24 26],[104  48  92 102]
[25 99],[33 46],84,76,[ 6 66],[87 26],[[34 24 28 92]; [20 54 88 66]],[[104  18  28  50]; [ 54  58  80  36]],[50 58 28 12],[10 92 48 86]
[86 50],[91 32],24,66,[80 63],[ 7 89],[[ 12  28  70  74]; [ 32  16   0 100]],[[ 10  68  80  74]; [ 12  48 104  10]],[ 22  44  52 102],[90 70 78  8]
[64 82],[26 67],50,96,[80 70],[80 79],[[92 76 66 58]; [20  0 60 80]],[[ 28 102   6  60]; [ 58  76  72  34]],[ 32  16  58 102],[98 86  8 40]
[11 21],[ 8 51],58,70,[28 32],[26 42],[[40 56  4 40]; [68 90 16 94]],[[16 10  6 66]; [34 32 16 74]],[60 12 70 68],[104  38  80  94]
[66 74],[94 94],60,88,[78 42],[40 93],[[22 22 16 18]; [ 2 34 96 94]],[[16  6 88 12]; [14 58 34 10]],[ 6 42 30 94],[92 82 22  2]
[73 12],[46 71],62,18,[32  2],[75 36],[[ 32   0  58   0]; [104  98  56  18]],[[84 64 72 94]; [74 52 22 90]],[ 34  32 104 100],[62 18 24 42]
[81 93],[71 50],70,76,[57 68],[88 93],[[ 98   4  24 102]; [  8  32  60 104]],[[ 16  52 100  38]; [104  22  84 104]],[30 40 28 48],[22 36 72 20]
[94 12],[10 70],82,82,[98 51],[ 1 40],[[64  6 50 66]; [50 88 14 26]],[[60 28  0 88]; [ 4  8 50 70]],[ 4 66 48 74],[54 14 78 84]
[43 56],[92 25],36,98,[ 4 99],[77 54],[[ 42  76 102  50]; [ 72  34  64  26]],[[94  2 96 70]; [92 24 42 56]],[52 50  6 88],[28 82 18 22]
[64 68],[74 67],66,44,[100  82],[ 1 92],[[56 64 98 22]; [66 24 66 48]],[[98 28 18 64]; [36 82 88 76]],[ 2 70  6 74],[84 26 34 28]
[38 83],[61  0],2,2,[60 87],[90 73],[[ 16  50  80  80]; [102  18 104  74]],[[56 94 80 30]; [94 30 48 70]],[82 76 96 20],[30 70  6 22]
[11  5],[32 21],36,42,[36  0],[12 92],[[60 48 82 80]; [34 50 48  4]],[[30 82 28  0]; [76 98 10 44]],[ 90 104  22  58],[56 32 92 58]
[91 18],[92 39],12,80,[78  1],[52 90],[[62  8 74 10]; [80 64 36  2]],[[104   4  96 102]; [ 68  50  60  84]],[12 32 16 36],[32 46 84 52]
[7 0],[66 56],84,84,[ 4 91],[13 45],[[50 84 62 54]; [58 70 24 32]],[[70  0 14 74]; [74 60 56 22]],[ 2 54 42 72],[10 10 64 50]
[72 69],[ 20 101],64,24,[96 80],[86 78],[[28 16 28 94]; [82 94 44 72]],[[ 86 104  60  28]; [ 98  40  38  66]],[92 16 40 94],[ 0 58 44 62]
[ 6 21],[99 35],10,36,[84 32],[54 61],[[ 34  72  70  50]; [ 36 102  48  98]],[[ 12  54  84  72]; [100  36  84  26]],[ 4 56  8 80],[28 90 12 58]
[82 71],[82 49],60,90,[53  1],[91 57],[[ 94  14  46  46]; [104 100   2  96]],[[24 90 18 76]; [28 62 28 80]],[30 22 16 56],[62 10 46 54]
[14 65],[38 54],100,62,[57 64],[19 49],[[44 36 62 40]; [94 18 12  0]],[[ 58  50  50   2]; [ 34  92  72 100]],[ 0 98 94 58],[ 54  54 102 102]
[12 52],[74  9],92,8,[ 28 101],[56 92],[[74 34 18 24]; [50 42 14 42]],[[88 78 26 66]; [72 90 12 10]],[36 36 52 10],[32 36  2 74]
[84 82],[ 56 101],72,46,[78 77],[45 63],[[  8 104  16  70]; [ 72  42  64  70]],[[ 62  36  56  74]; [ 70 104  62  28]],[60 72 88 50],[ 68 100  64  78]
[99 76],[96 99],8,30,[23 56],[ 67 101],[[ 34  94 104   0]; [ 66  10  26  86]],[[30 76 10 76]; [70 16 70 82]],[20 56 78  4],[10 78 88 58]
[42  4],[90 64],68,82,[25 36],[62 21],[[48 92 36 64]; [18 78 32 98]],[[44 24  0 22]; [22 38 66 50]],[28 28 68 54],[44 42 16 36]
[35 49],[73 71],70,98,[18 79],[53 42],[[10 74 34 38]; [40 34 82  8]],[[ 84  48  76  92]; [ 98  26  60 100]],[ 6 22 48 38],[102  72  22  66]
[65  9],[53 24],2,72,[23  2],[68 54],[[62  0 24 24]; [72 28  6 60]],[[102  40  32  92]; [ 60  76   8  16]],[54 82  2 72],[ 98  22  84 100]
[89 20],[83 49],4,32,[90 76],[48 38],[[42  8 46 76]; [26 30  2 92]],[[ 16 104 104   4]; [  0  88  56  96]],[100  98  32  18],[ 56  88  62 100]
[95 76],[36 25],68,102,[74 20],[74 18],[[28 88 74 34]; [36 24  2 28]],[[82 74 88 76]; [46 26 52 26]],[74 60 86 48],[16 62 84 24]
[ 9 60],[71 42],68,20,[12  9],[82 16],[[100  22  80  78]; [ 22  32 102  50]],[[32 74 76 54]; [34 94  4 82]],[74 96  2 82],[28 84 52  0]
[60 37],[49  2],32,44,[70 40],[66 30],[[64 26 98 42]; [86  2 32 50]],[[34  0 36 16]; [56 20 54 10]],[82 70 44 96],[102  82  70   2]
[98 56],[23 25],62,74,[67 43],[ 18 101],[[40 44 82 24]; [54 72 76 26]],[[42 48 58 34]; [40 18 80 52]],[16 14 48 46],[ 92  50 100  22]
[18 57],[35 89],60,8,[19 85],[104  24],[[90 44 42 84]; [22 82 36 70]],[[ 24  64  60  24]; [ 92 102  92  36]],[ 72  82  60 102],[50 18 32 78]
[ 7 63],[39 96],98,12,[36 97],[67 82],[[ 28  52  10  32]; [  0 100  58  12]],[[ 12   2 102  28]; [ 38  30  80   4]],[42 88 80 54],[36  2 54  2]
[79 78],[65 85],6,60,[54 39],[48 53],[[18 12 54 68]; [70 10 38 30]],[[  0  68  86  44]; [ 30 104  52  28]],[102  80  74  52],[ 88  88  24 104]
[52 22],[69 77],20,96,[41 92],[ 3 80],[[34  8 86 76]; [90 18  4 60]],[[ 4 12 86  2]; [52 80 94 58]],[72 42 50 94],[90 56 84 60]
[82 14],[69 70],8,24,[80 75],[25 34],[[  6  24  96 102]; [ 28  12  22  96]],[[92 48 18 92]; [ 2  6 54 38]],[60 20  4 44],[56 26 12 84]
[63  4],[53  1],14,74,[ 74 103],[20 13],[[104  82  84  22]; [ 42  68  12  84]],[[92 34 46 20]; [96  4 26 96]],[94 58 66 84],[ 22 104   2   6]
[103  59],[70 45],10,10,[56 47],[ 31 102],[[80 72 46  8]; [42 32  2 80]],[[26 18  4 20]; [12 82 84 32]],[ 60 102  36  46],[102 102  42  46]
[91 87],[42 37],30,102,[47 85],[95 27],[[ 38  28   8  22]; [ 78   2 100  84]],[[50 12 52 88]; [24 56 98 76]],[36 74 24 16],[ 22  78 100  38]
[47 68],[68 79],40,78,[24  9],[95 46],[[68 30 30 66]; [76 50  8 80]],[[ 6 14 52  4]; [96 28 76 64]],[16 86  8 88],[74 80 48 72]
[66 45],[26 92],62,38,[98 84],[ 4 47],[[ 36 100  10  52]; [ 70  86  78  84]],[[100 104  80  90]; [ 14  90  98  78]],[ 24 102  72  80],[34 94 92 26]
[57  2],[87 81],56,54,[82 81],[102  89],[[20 66 66  6]; [18 14 72 84]],[[46 94  8 44]; [40 76 36 18]],[42 18 62 70],[76 22  4 70]
[26 44],[20 62],24,72,[44 41],[101  67],[[48 40 76 90]; [22 10 92 42]],[[42 32 62 94]; [22 92 64 68]],[88 24 70 42],[88 28 12 48]
[ 8 77],[32 11],72,10,[75 60],[59 99],[[ 4 88 44 50]; [58 28 12 60]],[[30 54 60 60]; [ 4 22 64 62]],[ 6 28 98  6],[ 10  92  10 102]
[97 54],[29 52],60,54,[18 66],[96 62],[[ 66 102  54  88]; [ 18  72   2  76]],[[ 84  30  74 104]; [ 48  98  62  52]],[ 8 94  4 10],[96 94 44 94]
[25  6],[95  2],76,2,[93 46],[92 58],[[ 44  70  42  80]; [102  30  72  46]],[[82 72 76 80]; [52 44  4 62]],[ 0 80 90 56],[18 58 56  6]
[78 42],[63  8],10,46,[87  1],[29  4],[[70 38 42 86]; [60 22 98 88]],[[  6   6 102  70]; [ 44  38  64  70]],[ 40  44  46 102],[80 40 76 74]
[48 52],[67 28],52,46,[78 20],[71 55],[[18 62 98 18]; [68 70 32 48]],[[24 94 22 26]; [ 4 16  0  2]],[102  46   2  90],[76 34 68 86]
[80 61],[22 70],82,18,[ 0 17],[23 41],[[24 66 14 88]; [62 46 48 36]],[[68 78 78 72]; [24 56 44 80]],[102  46  86  90],[ 8 50 76 42]
[58 44],[ 5 87],92,18,[57 46],[27 86],[[90 30 76 18]; [66 30 68 94]],[[80 94 44 50]; [56 44 36 48]],[38 48 44 74],[60 28 56 16]
[37 27],[67 52],20,44,[ 6 23],[13 67],[[66 48 26 78]; [10 76 42 54]],[[58 66 90  2]; [90 26 64 40]],[56 84 56 58],[ 52   0  38 100]
[96 91],[103  70],54,46,[63 93],[97  3],[[104  22   8  42]; [ 28   6  18  48]],[[30 36  0 16]; [30 68 68  4]],[84 82 98 16],[20  4 56 82]
[ 3 39],[81 40],90,66,[104  80],[63 64],[[ 90 104  12  70]; [104  92  70 104]],[[ 8 44 26 42]; [ 6 24 70 80]],[84 34 24 26],[ 28  12  16 102]
[70 93],[55 76],54,48,[64 42],[46  8],[[16 34 80 48]; [34 18 84 30]],[[26 34 30 16]; [90 66  6 44]],[54  2 98 76],[20 52  6 78]
[ 6 46],[ 6 88],4,28,[31 58],[26 14],[[ 90  66   0  98]; [ 46  62 102  76]],[[82 48 92 64]; [72 58 44 68]],[64  4 58 48],[80 56 68 64]
[41 32],[89 26],94,90,[45 44],[101  92],[[98  0 20 90]; [12 60 30 44]],[[ 96   2  48  80]; [100  48  68  60]],[38 68  6 14],[50  6 28 58]
[94  9],[75 38],2,4,[46 34],[ 5 81],[[50 98 10 48]; [46  0 32 70]],[[ 58 100   4  88]; [ 16   2  52   0]],[70  0 96 88],[42 54 44 46]
[ 71 104],[73 52],8,60,[44 43],[86 83],[[58  2 86 60]; [42 54  8 90]],[[46  2 94 78]; [90 46 56 80]],[68 62 40  6],[86 46 12 32]
[60 50],[29 66],40,8,[53 52],[53 81],[[86 38  4 84]; [ 2 62 18 50]],[[22 56 40 36]; [10 38 82 82]],[32 34 62 72],[92 58 50 70]
[35 82],[49 60],78,32,[50  8],[ 7 87],[[  2  78  40  76]; [ 82  16  34 104]],[[64 58 16 98]; [56 66  8 50]],[42  2 86 14],[24 24  8 48]
[51 55],[19 36],12,10,[11  9],[89 26],[[100  86  26  10]; [ 78  76 100  72]],[[48 34 22 40]; [98 68 24 62]],[96 42 36 98],[ 56 100   4  74]
[81 44],[31 98],70,34,[ 1 27],[46 97],[[ 8 58 10 96]; [26 76 58 78]],[[26 54  8 22]; [52 20 42  0]],[10 62 60 44],[12 12 96 12]
[27  8],[82 26],58,92,[56 44],[54 51],[[42 42 28 92]; [10 72 46  0]],[[30 90 66 94]; [90 44 32 68]],[  4  20 102  12],[104  48  94   2]
[37 48],[99 54],78,16,[54 79],[32 34],[[28 10 64 38]; [38 88 88 46]],[[90 72 58 66]; [30 24 18 44]],[54 36 82 50],[80 50 88  6]
[ 6 44],[24 31],34,94,[60 82],[16 42],[[32 12  6 24]; [88 64 68 38]],[[24 18 76 96]; [ 8 80 32 84]],[78 80 46  4],[ 88 100  40  86]
[95 52],[ 2 53],82,6,[ 3 25],[88 27],[[88 98 18 74]; [58 20 68 52]],[[ 94  12  74  48]; [ 70  48   6 104]],[100  60  20  28],[10 24 56 52]
[ 11 103],[28 67],76,42,[10 72],[11 60],[[92 50 10 66]; [70 60 76 60]],[[64 24  2 38]; [38 12 80 22]],[40 88 16 38],[ 32  54  40 100]
[ 0 90],[101  47],94,56,[33 11],[75 32],[[26 36 92 70]; [66 80 82 18]],[[ 2 50 86 50]; [82 12 98 32]],[96 64 34 42],[14 12 10 88]
[67 69],[86 26],56,96,[51  9],[81 24],[[48 50 60 12]; [94 40 12 48]],[[ 98   8   6  96]; [  2 104  12  90]],[ 48   6 100  92],[92 58 98 60]
[64 35],[58 72],58,66,[ 4 46],[92 30],[[46 22 88 36]; [90 84 28 20]],[[28 58 60 72]; [48 54 62 68]],[92 86 54 90],[ 92 102  76  90]
[98 51],[52 98],28,88,[16 83],[78 65],[[ 58  96 100  16]; [ 80  16  60  60]],[[ 96  52  42  34]; [ 34  30 104  54]],[30 42 26 20],[68 36 86 16]
[93 14],[68 27],24,52,[28 72],[9 5],[[ 12  44  88 104]; [ 68  12  46  54]],[[104   4  48  64]; [102  78  34   0]],[ 4 46  4  8],[50 16 26 40]
[48 52],[ 8 62],56,60,[14  8],[ 99 100],[[48 22 18 10]; [90 32 50 86]],[[ 38 104  34  78]; [ 78  50  56  10]],[ 62 100  12  12],[26 12 36 34]
[64 61],[78 54],28,64,[102  46],[69 70],[[ 60  42  20  26]; [ 22 104  42   6]],[[100  54   8  24]; [ 68  10  94  26]],[10 80 94 24],[54 22 36 62]
[94 79],[ 7 12],66,56,[70 73],[ 8 52],[[10 22 60  6]; [54 34 50  4]],[[96  8 86 12]; [92 60  2 20]],[48 58  2 70],[98 12 32 84]
[42 48],[80 36],76,64,[ 7 67],[ 78 100],[[76 68 38 84]; [18 30 46 82]],[[ 72  36  88  36]; [ 66  72 100  32]],[62 76  6 74],[44 44 58 98]
[ 18 102],[47 59],60,60,[32 51],[31 42],[[ 24  30  68  38]; [  2 100  46  54]],[[56 10 66 78]; [30 26 22 12]],[80 80 72 80],[60 74 22 12]
[62 44],[77 74],2,10,[ 4 23],[68 41],[[78 56 26 40]; [ 2 86  8 82]],[[ 18  70 102  44]; [ 94  68  88  14]],[28 92 60 14],[26 56 48 20]
