f_0,f_1,h_0,h_1,R_n,R_0,E_phi_0,E_phi_1,E_psi_0,E_psi_1,N_0_0,N_0_1,N_0_2,N_0_3,N_n_0,N_n_1,N_n_2,N_n_3,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,Q_0,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7
13,24,12,64,98,10,95,15,32,2,26,52,60,94,0,74,84,100,54,42,8,30,46,14,56,18,76,84,6,42,36,10,40,34
41,55,22,98,60,6,104,15,23,59,102,54,76,64,50,24,102,52,70,6,30,8,104,20,64,0,62,94,8,48,14,60,88,26
29,72,0,19,56,74,0,3,88,97,22,80,16,40,72,68,24,82,52,98,70,98,16,50,62,82,38,96,104,48,40,34,70,102
96,93,95,31,22,66,52,43,77,5,0,38,100,50,12,14,30,74,58,30,16,50,14,28,90,68,98,76,46,102,56,96,98,88
96,57,73,50,56,102,43,84,63,27,32,98,76,98,70,74,100,58,46,44,66,8,0,80,100,86,32,96,26,42,22,16,74,38
95,86,72,32,40,2,39,33,28,41,90,78,94,38,18,104,8,68,26,30,52,50,58,70,72,66,72,100,48,0,14,68,18,82
23,68,0,79,98,28,26,62,31,37,48,100,22,48,52,16,52,102,40,16,10,44,96,90,2,24,58,90,94,22,2,0,52,86
76,16,83,4,42,10,8,97,1,43,34,40,48,102,8,70,86,82,70,90,38,28,32,76,88,84,64,14,14,34,92,76,42,68
91,72,87,74,22,30,26,14,51,74,34,12,10,44,102,22,4,40,56,44,100,8,70,94,90,88,28,12,28,6,62,14,80,18
22,65,64,47,28,30,54,6,10,66,68,10,64,10,50,12,90,22,12,64,40,98,34,94,60,22,38,38,58,68,92,100,44,78
43,98,95,99,74,20,16,26,104,28,52,38,60,96,34,84,102,72,12,22,54,98,10,12,10,104,16,102,12,98,104,38,48,74
28,22,6,100,68,46,93,18,2,25,38,102,2,100,92,34,48,92,80,16,28,40,32,14,78,98,56,102,72,84,42,96,60,88
79,74,77,22,4,96,75,90,3,89,52,28,52,44,88,84,88,4,94,0,100,102,14,50,10,26,16,18,0,6,14,20,44,66
35,64,87,43,72,18,99,74,41,93,96,46,94,46,70,8,60,54,82,62,102,96,44,94,64,90,94,66,90,80,0,98,16,18
68,4,90,35,36,46,95,4,100,97,8,64,92,36,88,84,58,30,96,50,66,76,28,64,10,94,28,76,88,40,86,68,46,18
90,78,22,98,76,24,14,24,13,93,76,28,104,52,96,6,58,60,98,38,66,10,96,26,2,74,58,20,80,22,28,82,64,46
30,1,11,34,10,14,103,86,87,16,6,104,10,48,100,98,64,78,2,76,26,36,30,80,88,32,94,40,30,42,80,66,86,76
88,24,30,44,78,58,17,30,33,5,14,60,60,34,4,30,0,74,60,104,68,62,62,48,98,4,66,24,6,54,74,104,68,70
43,24,39,4,58,80,90,103,66,37,78,64,94,94,78,74,86,62,56,50,6,32,24,58,14,18,44,94,32,78,30,32,58,78
80,94,91,35,26,62,96,73,94,11,22,46,16,72,12,56,28,40,54,100,26,100,70,66,28,36,78,2,26,18,96,40,16,56
1,95,82,55,10,100,100,15,102,33,96,24,56,52,70,104,28,76,24,2,96,4,68,22,80,42,52,66,62,6,100,80,64,72
82,101,9,15,14,14,66,52,87,79,72,42,36,18,2,36,98,66,54,90,96,82,46,20,64,86,36,14,92,20,50,4,100,36
12,20,45,23,24,78,70,4,17,31,12,54,26,80,98,56,22,86,6,26,90,58,30,74,0,42,40,14,14,10,70,4,8,66
86,68,7,21,62,92,76,68,18,29,22,32,64,6,60,12,24,36,44,74,102,12,24,86,74,92,72,4,48,26,56,14,42,96
38,22,69,66,14,74,7,38,97,17,0,38,104,14,70,86,58,20,32,34,44,46,18,8,4,12,100,54,52,98,46,68,48,78
41,96,73,96,60,16,25,5,74,3,78,64,84,32,96,10,18,48,14,14,16,24,46,36,48,20,92,58,86,42,52,84,14,74
98,21,10,50,26,40,23,21,52,17,20,32,54,42,88,24,40,22,100,22,16,40,4,40,34,6,56,104,20,2,94,12,46,30
100,75,57,99,76,86,54,62,63,6,90,62,88,50,78,76,96,66,70,36,22,6,90,78,62,2,66,94,36,92,56,100,82,72
16,83,102,33,60,32,32,90,56,50,34,30,0,8,94,24,72,8,28,100,40,102,88,104,64,86,14,98,74,86,100,30,82,96
67,45,35,49,70,24,21,92,24,54,18,72,10,18,70,72,6,38,14,72,2,28,6,48,94,72,0,16,44,46,44,72,18,56
85,74,22,15,18,88,53,52,81,36,86,58,40,38,2,0,8,98,4,8,76,104,24,44,84,102,8,48,18,86,32,14,24,40
43,28,29,2,2,46,30,67,5,96,94,72,78,86,48,4,36,16,96,66,82,96,54,88,86,80,96,24,40,28,80,50,88,26
94,95,86,33,70,102,54,80,95,95,90,34,66,68,32,18,78,74,52,22,10,104,54,74,76,64,34,32,8,10,12,68,46,64
103,14,83,76,16,14,79,36,72,79,56,46,82,36,10,6,12,50,6,0,88,100,90,26,48,36,24,74,96,6,74,28,42,78
30,81,33,19,68,72,20,15,49,97,66,64,16,50,102,102,70,68,20,42,40,100,10,52,32,28,38,40,14,6,74,0,92,4
52,24,30,64,48,90,67,20,69,7,48,86,98,78,0,102,2,74,20,90,16,100,4,28,26,82,52,20,10,20,72,34,34,30
2,65,47,15,54,86,9,70,97,93,54,20,42,74,8,92,68,94,72,50,100,22,42,56,50,54,30,36,104,16,10,36,88,92
7,76,77,3,62,12,7,3,99,11,28,2,92,50,8,54,20,16,96,100,38,68,94,0,42,72,8,26,50,90,12,30,96,40
18,100,30,95,30,52,71,5,97,64,12,48,80,102,36,98,90,62,54,58,28,58,64,52,24,8,102,24,46,54,80,26,0,10
72,29,3,5,102,20,78,79,13,18,90,60,38,62,98,66,60,100,104,66,4,32,96,12,72,28,22,52,48,102,42,102,76,8
18,68,69,12,94,78,35,22,9,104,52,66,90,102,4,50,46,36,64,14,94,86,42,50,2,26,12,8,50,30,40,82,44,12
73,67,101,82,90,26,2,94,100,95,20,74,24,90,80,26,6,96,86,30,62,6,40,62,16,62,96,82,84,60,22,86,40,16
40,5,94,40,66,8,25,98,10,75,60,50,54,92,12,0,104,42,18,100,46,60,24,74,94,38,96,4,100,80,86,8,84,12
52,40,48,43,48,10,78,29,102,61,40,12,30,12,38,20,104,6,56,102,60,2,30,2,16,52,76,104,32,36,66,94,92,28
30,68,39,99,14,38,67,99,11,49,64,74,92,96,58,66,84,0,44,52,20,72,42,98,12,58,46,74,4,78,96,62,66,54
75,76,13,24,82,26,104,84,77,80,98,104,88,60,62,66,88,4,78,56,44,30,88,8,2,56,82,88,60,12,58,80,72,92
80,46,43,61,60,38,104,29,66,7,36,18,96,90,30,64,72,34,104,94,76,36,102,92,66,66,10,64,58,50,16,14,62,72
55,12,15,58,82,24,94,42,75,98,48,2,72,92,16,102,88,18,58,16,34,6,60,66,38,54,26,50,88,90,102,66,56,100
81,6,38,78,52,60,100,72,20,33,90,4,94,88,64,28,98,86,8,84,62,6,26,52,90,30,90,26,98,0,104,58,18,74
37,66,15,12,60,10,28,37,79,81,32,36,30,2,32,60,14,4,36,26,22,90,72,60,32,8,8,30,96,102,98,80,64,90
76,12,51,17,40,22,55,49,76,15,8,24,0,16,76,40,54,4,6,0,36,0,82,70,38,32,38,42,14,28,92,24,38,26
78,40,0,48,10,10,90,63,92,86,22,6,22,26,90,48,54,66,66,20,90,40,104,0,86,50,30,76,102,82,98,44,52,94
67,56,62,35,84,38,5,2,104,77,34,76,82,44,82,62,58,66,54,82,94,28,22,56,42,2,10,88,36,82,20,58,0,36
51,23,73,104,32,24,35,18,52,60,92,42,50,68,2,44,22,6,78,28,64,50,92,68,54,18,72,28,72,42,56,18,52,80
83,7,99,37,82,20,15,57,79,93,64,60,96,24,66,50,58,102,6,38,96,100,0,0,48,70,28,2,58,22,34,50,14,82
81,54,74,101,64,86,92,68,5,47,88,100,96,6,60,22,78,84,36,44,8,20,86,44,98,34,32,102,30,20,48,6,28,76
75,29,13,63,8,80,43,57,101,51,40,12,60,12,64,42,100,20,68,92,30,16,30,66,54,50,0,20,24,82,20,14,90,4
64,7,26,47,78,84,82,49,25,72,46,10,66,42,86,44,34,52,2,68,32,4,78,50,98,46,66,28,50,78,98,74,6,8
98,24,102,45,34,92,31,5,49,73,80,32,84,28,70,4,90,22,14,104,22,24,44,66,12,96,4,50,48,74,74,52,76,32
18,91,43,53,36,40,91,86,0,22,88,22,88,62,22,68,64,24,76,12,54,104,82,68,82,60,26,94,2,66,48,62,102,78
8,63,84,58,88,54,34,87,39,87,42,22,34,58,42,74,86,68,54,96,78,70,80,30,20,36,98,44,30,10,84,32,22,28
26,41,39,45,10,32,39,31,46,92,86,76,58,94,68,36,8,94,90,32,104,94,2,84,86,70,2,14,18,96,14,82,72,24
46,98,63,32,92,84,102,46,3,87,16,34,36,86,12,64,86,18,88,30,22,36,16,50,14,54,24,42,8,62,20,12,16,30
78,81,35,76,90,52,40,49,82,85,62,42,24,48,64,86,76,72,64,36,30,56,6,62,32,102,68,96,48,70,70,94,104,50
34,22,97,10,90,22,60,45,81,86,24,16,6,2,2,20,10,84,104,12,96,40,6,64,100,8,86,88,56,34,78,18,22,22
76,44,41,13,20,62,5,84,25,21,70,4,56,100,78,102,68,78,16,26,88,16,36,62,44,38,40,100,24,52,24,4,94,86
88,47,77,36,100,80,85,80,4,87,64,86,20,40,62,84,18,52,60,14,40,4,12,20,98,18,88,54,68,86,12,2,32,2
57,37,70,3,30,72,62,1,82,64,58,72,100,18,42,36,14,78,0,90,100,16,48,84,76,84,50,70,4,22,2,66,14,96
72,75,70,74,28,32,86,23,63,77,4,10,76,86,38,104,90,100,20,28,40,50,52,14,12,88,90,16,70,74,2,76,80,102
55,17,29,96,90,58,51,18,9,30,6,10,44,36,30,58,6,82,10,0,20,56,18,16,102,6,2,46,80,90,36,22,80,54
84,80,103,94,76,62,23,11,76,53,42,46,60,14,94,66,34,38,80,64,98,100,8,88,60,88,52,82,66,60,92,84,102,6
48,11,43,8,50,80,40,43,6,6,100,100,102,56,82,48,0,34,102,24,88,28,6,54,70,4,64,56,92,22,70,66,80,36
92,87,41,103,84,90,45,25,56,30,58,92,34,32,38,10,10,88,102,56,66,44,78,42,44,4,100,62,8,8,4,50,86,92
52,70,19,31,50,102,83,37,73,20,44,22,4,78,50,2,74,60,58,24,8,60,36,82,38,30,38,40,100,32,100,40,98,20
67,91,49,69,100,58,89,55,104,27,32,2,100,76,66,92,54,96,24,8,74,76,62,4,8,0,20,14,34,48,26,16,24,32
104,12,44,37,18,100,48,33,3,68,34,60,40,16,102,62,56,22,98,16,36,10,38,96,16,82,58,88,70,98,20,14,82,36
0,38,61,33,36,44,61,0,85,45,74,42,20,76,42,88,22,82,22,6,18,26,6,68,94,74,32,0,48,104,62,94,28,14
47,95,43,3,2,10,23,48,11,29,52,50,90,78,56,84,78,88,14,74,100,30,78,2,100,48,48,26,64,46,0,94,12,70
9,28,75,74,90,8,5,66,32,85,8,52,26,74,60,50,94,92,86,52,90,98,16,18,36,52,78,16,72,6,28,20,28,0
62,50,84,79,96,2,83,3,32,65,98,100,102,12,8,88,0,2,58,70,4,96,26,8,38,16,12,14,10,18,82,10,92,28
71,2,37,18,66,90,81,88,103,58,4,104,32,28,90,32,50,18,102,44,84,86,38,52,56,34,34,86,100,98,48,32,98,52
75,86,48,101,82,58,23,82,6,101,28,38,36,10,66,62,28,64,24,40,32,22,18,6,28,22,56,2,104,10,62,52,54,86
8,79,96,77,54,26,94,25,39,26,34,26,104,84,86,36,54,32,48,104,10,68,98,64,12,44,70,78,92,6,66,104,42,80
101,43,93,34,102,66,41,92,99,94,78,58,52,86,72,104,8,94,86,42,14,68,16,72,32,18,72,60,4,80,102,44,12,38
7,91,38,23,100,6,15,98,36,52,30,16,70,70,44,24,50,16,38,50,30,70,46,104,16,32,68,102,38,48,100,50,2,2
11,11,93,74,36,16,48,58,88,25,14,102,24,64,46,86,8,102,76,66,78,96,34,24,18,32,24,22,94,102,18,70,92,100
33,57,89,66,88,62,65,44,64,62,58,80,92,84,74,86,28,6,76,54,94,10,78,44,38,104,86,100,56,98,50,26,90,36
80,7,34,32,70,56,27,40,19,5,32,54,58,64,8,62,10,52,20,14,2,74,48,38,72,0,42,52,98,26,46,18,32,44
9,100,27,54,98,66,104,37,85,77,56,98,64,10,28,80,104,48,70,60,68,38,84,94,68,10,50,48,72,82,26,12,22,78
7,51,22,101,72,102,7,64,64,81,68,22,64,2,10,50,6,58,58,38,28,76,44,32,102,16,56,82,24,76,96,4,48,18
2,50,36,6,14,96,65,41,61,4,64,78,20,36,30,72,46,94,86,80,100,24,62,100,88,16,54,18,40,60,0,86,30,10
21,44,15,31,64,4,56,3,24,57,26,30,38,54,94,92,98,0,30,40,76,14,30,92,64,28,68,100,78,32,56,20,26,94
26,60,79,98,42,88,48,89,35,3,32,50,66,44,46,44,30,40,40,82,44,40,28,6,36,96,18,4,52,104,92,90,26,92
95,53,57,9,36,100,36,73,55,48,42,28,50,80,104,76,68,102,46,54,38,94,28,104,54,28,74,32,4,48,12,68,102,60
87,70,94,9,28,100,78,76,30,0,2,38,56,102,74,66,30,12,98,60,8,14,48,6,6,52,38,14,90,10,60,94,8,54
6,8,30,11,88,14,67,83,104,1,62,22,44,50,40,22,22,44,40,0,78,10,36,16,62,52,62,48,64,104,44,30,102,36
91,51,88,60,88,8,57,81,30,11,2,6,98,14,58,2,82,52,14,96,48,86,28,56,28,58,82,22,82,60,28,88,84,90
91,11,69,25,68,2,26,102,23,9,82,76,76,52,64,42,24,60,102,84,64,96,54,100,80,10,26,20,74,96,10,2,70,20
28,2,91,66,48,30,45,82,80,74,14,66,84,38,32,66,98,92,100,96,32,46,102,100,32,86,72,62,86,62,62,16,22,6
59,4,90,42,40,14,98,104,62,8,36,10,90,4,14,4,30,18,56,34,12,56,76,68,96,68,98,4,50,44,14,28,86,88
43,9,102,55,76,42,54,3,20,95,94,6,8,22,46,20,56,58,28,78,24,2,8,4,64,98,6,30,78,70,102,90,72,58
48,20,21,83,20,40,17,100,39,46,88,38,96,86,84,16,24,32,52,72,66,36,14,48,74,56,70,22,44,14,6,68,24,0
73,66,81,16,62,84,71,82,32,27,24,20,88,50,82,0,76,42,26,36,12,24,66,24,56,82,12,34,28,38,82,2,20,26
61,44,83,6,82,36,93,15,48,66,12,42,52,12,78,38,0,80,66,96,104,26,34,84,72,42,90,78,58,94,96,2,32,54
28,20,61,98,42,28,98,56,18,45,40,36,22,46,80,68,80,60,96,58,28,40,60,4,28,22,32,102,44,40,26,10,14,100
84,98,9,74,50,72,100,67,97,5,78,38,16,48,26,46,16,28,82,42,44,84,90,82,98,66,10,66,60,78,22,14,34,2
53,82,42,57,76,90,41,74,62,41,12,100,20,96,6,86,78,20,50,38,50,28,78,0,90,22,24,8,70,88,72,8,48,58
94,40,90,48,42,68,95,6,41,100,80,56,18,2,40,66,4,80,64,56,16,32,46,92,48,14,70,30,10,26,98,0,104,42
14,100,99,63,44,74,84,66,6,32,102,42,12,94,104,14,92,52,4,50,70,10,62,24,28,34,36,74,32,76,58,54,74,66
69,38,68,4,30,6,60,103,18,52,72,38,18,48,38,46,60,46,46,86,64,70,94,94,18,28,68,72,64,72,46,26,72,8
73,66,60,35,74,82,67,66,25,69,68,30,102,68,72,2,2,96,26,20,26,78,70,28,86,84,10,26,90,20,32,34,90,28
83,48,19,33,4,94,15,60,15,59,58,76,8,22,70,100,84,104,16,20,20,68,70,14,62,62,28,10,76,82,62,22,90,84
42,58,17,96,80,28,52,72,74,82,46,100,2,84,68,30,12,60,30,2,20,48,74,94,62,20,54,26,46,8,10,70,40,40
26,95,42,63,24,32,50,52,46,58,6,60,44,100,14,52,2,58,92,10,84,104,44,42,22,20,70,4,56,52,68,84,44,64
27,57,80,93,22,38,28,80,58,97,74,8,2,80,8,16,74,96,32,58,26,72,52,58,20,84,64,72,40,80,4,102,98,32
64,2,32,95,60,18,46,42,22,56,48,70,28,34,86,14,82,54,50,16,76,42,14,94,42,80,96,18,102,88,36,84,84,48
40,27,68,97,96,36,63,51,70,48,94,14,38,22,30,86,100,68,28,94,58,94,38,86,94,20,4,16,28,32,100,40,88,48
37,47,86,70,56,82,19,90,52,89,42,32,46,58,54,6,2,72,102,94,90,12,90,14,62,76,92,96,14,6,10,48,26,62
34,80,20,61,72,62,53,89,93,15,30,28,72,64,98,52,50,82,10,54,26,50,48,100,44,90,64,66,84,28,60,74,102,34
2,40,102,4,16,14,94,61,84,37,82,58,90,88,50,6,92,34,54,80,26,6,68,22,72,84,50,70,40,30,6,50,64,100
27,17,24,18,94,100,49,10,4,80,12,60,102,52,34,80,80,96,62,60,82,52,58,28,32,38,70,100,52,16,64,4,0,64
67,76,97,67,42,98,97,93,75,89,28,84,64,86,74,72,96,78,88,54,90,78,14,92,10,2,22,62,26,66,98,16,58,104
31,8,68,46,80,62,5,44,97,49,2,80,92,54,82,14,102,74,78,52,8,18,88,18,66,64,52,72,10,26,26,92,16,74
104,37,13,39,74,34,99,60,71,37,16,52,28,76,88,86,76,14,100,68,26,78,98,82,58,60,6,68,70,76,104,102,60,62
37,52,69,63,50,24,84,102,89,45,20,102,66,60,36,32,36,2,82,62,72,30,20,12,52,96,96,52,54,82,50,18,22,44
91,3,68,56,48,86,40,69,62,36,102,30,48,94,10,28,4,36,78,26,94,86,74,50,88,84,34,12,22,40,74,84,36,94
70,35,59,92,76,54,23,54,90,16,4,16,14,100,100,104,6,10,62,24,40,96,12,90,26,6,24,12,26,70,8,58,92,94
53,74,102,45,86,14,88,13,46,93,0,84,32,30,62,14,34,44,40,68,36,100,16,42,98,56,48,78,34,30,80,88,94,16
6,48,93,18,26,84,98,39,71,67,40,44,62,82,100,28,88,50,62,24,60,32,22,16,10,94,58,10,22,70,98,14,40,86
74,68,78,24,78,84,68,71,60,65,2,4,96,92,34,78,56,64,4,100,12,6,44,36,10,14,10,80,46,102,90,52,36,64
103,78,19,3,102,94,0,92,14,34,18,22,96,4,18,58,74,52,14,70,24,84,88,86,54,54,64,46,24,26,58,96,78,4
60,10,18,38,58,46,82,80,26,2,62,104,46,24,8,18,34,56,96,4,76,46,76,82,48,16,20,34,30,64,78,86,74,8
1,11,90,12,68,76,101,37,11,59,42,102,68,14,50,70,0,48,94,4,12,98,96,70,66,30,12,90,64,104,100,76,70,98
35,42,49,28,6,2,78,91,0,25,30,76,48,100,60,94,14,16,16,104,98,30,18,34,10,94,28,50,68,2,94,78,26,104
7,80,77,97,8,98,83,4,100,41,60,26,38,90,74,18,60,6,36,66,0,40,50,86,14,22,88,22,74,70,72,8,30,24
80,20,91,32,62,28,49,83,24,1,56,20,2,10,30,12,32,56,48,76,24,8,6,26,34,98,102,44,84,16,102,60,54,56
9,31,8,90,68,54,56,15,61,91,4,74,4,58,20,22,62,82,6,48,46,60,72,88,30,60,72,64,14,42,42,38,32,80
64,104,3,6,52,86,86,46,43,79,6,82,72,12,54,2,34,16,46,10,54,94,16,100,24,68,92,66,72,24,28,4,12,4
2,35,76,95,72,90,44,20,63,30,104,32,76,72,18,72,102,38,6,90,40,102,28,16,38,74,92,58,10,38,42,40,94,44
31,16,92,81,102,80,83,67,48,75,72,6,80,68,10,40,88,30,46,52,94,102,84,36,6,60,64,46,38,60,66,52,58,54
28,46,29,33,60,10,104,57,3,35,52,44,50,48,4,20,82,22,28,88,0,28,80,12,92,100,56,58,44,0,56,64,30,32
69,26,79,64,68,82,86,5,69,24,16,92,56,0,24,100,78,92,86,66,56,38,70,60,0,20,26,62,10,26,48,94,16,18
16,31,34,27,22,34,15,78,81,20,78,38,4,10,0,48,62,82,64,54,24,18,16,80,30,8,74,102,68,46,4,22,76,60
15,74,13,7,54,10,55,39,88,38,30,88,54,72,14,46,90,14,28,64,68,104,26,14,72,44,14,78,50,16,102,54,44,64
13,20,45,7,58,92,72,35,101,33,12,8,64,4,12,10,72,90,20,102,30,72,10,36,50,14,60,22,58,36,20,82,68,48
74,78,79,30,44,48,97,19,2,17,94,0,22,50,50,6,34,70,92,52,88,4,78,36,94,40,38,22,10,8,10,2,14,100
56,57,62,0,58,48,27,6,93,18,4,22,10,68,84,76,98,82,10,62,66,74,14,20,94,20,64,78,28,64,30,48,34,102
36,38,15,33,98,86,83,36,60,23,22,92,86,92,48,24,86,10,82,96,60,64,48,8,102,104,96,40,14,70,86,32,36,100
34,8,76,61,58,38,103,38,1,98,34,82,40,40,12,88,52,104,72,88,84,80,64,50,34,54,104,84,38,68,6,40,88,4
96,65,50,79,22,48,8,44,89,32,84,50,58,34,58,20,2,70,30,80,54,30,74,72,58,48,20,12,38,48,18,12,78,100
50,51,44,21,32,84,93,63,47,4,40,24,62,14,92,20,30,40,14,2,0,26,58,26,54,92,68,22,32,98,80,40,0,26
31,63,20,28,90,38,58,71,54,59,22,88,88,50,28,66,88,70,24,98,12,90,6,0,78,64,84,98,24,60,32,22,104,100
11,80,63,39,18,12,50,60,93,100,66,30,88,100,10,12,90,100,32,2,14,34,80,32,66,42,84,22,48,56,4,34,90,38
49,74,64,101,52,68,101,10,40,60,42,58,12,6,2,10,22,80,84,76,34,22,88,50,0,46,98,52,40,96,62,2,4,76
52,69,30,33,76,62,87,6,52,36,38,6,30,4,76,74,102,76,14,16,48,94,40,62,42,94,62,32,34,16,88,98,60,68
60,3,75,19,22,80,79,65,64,19,18,80,86,30,86,90,24,20,40,10,50,80,84,104,84,34,70,64,36,44,22,12,82,18
90,73,75,14,58,60,58,9,20,28,2,86,24,18,52,60,22,58,88,64,80,100,12,90,92,54,6,56,12,0,18,76,98,34
93,18,8,8,36,72,23,33,23,50,58,36,64,8,4,56,66,12,82,0,34,14,0,12,44,80,14,58,70,72,8,44,24,30
75,59,52,20,68,102,99,41,70,45,16,36,76,18,74,68,30,0,82,66,52,60,8,6,80,64,88,22,78,68,32,82,56,48
44,73,31,88,62,82,64,82,57,101,42,38,56,104,80,36,14,62,6,20,82,50,74,94,28,16,88,78,84,10,36,28,20,26
42,57,34,95,66,64,38,100,72,52,56,98,102,72,4,104,28,28,78,60,38,104,24,20,80,22,66,36,72,48,32,60,4,60
89,36,78,4,80,34,91,33,18,93,98,28,86,56,86,66,70,88,80,70,104,90,20,40,40,14,72,104,76,30,38,24,2,94
15,5,75,39,88,24,15,94,96,73,4,90,14,78,104,58,50,18,8,102,86,18,20,102,30,46,94,24,34,94,72,36,30,72
58,63,35,28,4,82,3,4,12,95,88,46,78,2,24,62,84,84,60,64,46,12,30,104,40,8,52,0,86,0,70,38,14,36
42,59,40,35,36,54,7,39,102,103,82,64,66,12,20,90,72,66,10,72,78,62,78,68,84,68,16,104,56,28,14,70,18,8
80,50,70,104,74,36,85,54,74,99,8,68,54,88,96,62,4,96,44,26,42,36,10,36,6,54,20,48,8,88,10,58,16,84
47,4,38,65,16,12,16,52,60,44,26,8,88,30,102,30,18,58,22,74,64,58,98,102,58,10,70,56,24,26,52,74,74,2
36,76,93,43,24,18,8,104,65,79,92,54,80,22,98,56,104,0,14,28,104,74,56,68,50,42,68,104,44,56,56,20,84,54
53,63,88,13,26,92,1,43,35,52,76,76,32,44,40,20,20,18,32,18,2,16,48,102,74,50,46,84,26,74,6,4,8,2
39,26,30,22,16,78,78,14,88,9,86,52,20,24,78,70,40,74,32,14,96,78,102,28,26,18,64,94,6,14,8,70,34,64
78,6,35,86,84,52,64,59,60,1,62,44,36,80,10,48,28,38,4,80,18,48,6,10,24,80,18,10,46,0,4,0,34,8
100,18,1,28,48,8,53,88,51,80,66,88,48,86,28,90,100,48,78,16,52,10,54,56,4,8,104,28,78,86,26,4,46,76
35,39,49,11,42,102,29,97,104,56,66,70,48,102,62,66,24,30,80,92,100,54,24,72,14,28,88,102,4,78,24,78,70,88
73,25,77,9,84,90,96,87,93,43,72,0,12,12,44,82,100,12,38,60,80,94,56,68,28,64,34,46,24,10,72,64,18,34
17,12,87,51,26,80,83,104,78,68,0,32,102,46,32,42,32,14,52,92,0,76,0,90,76,62,64,12,2,90,20,78,96,102
27,3,58,49,44,54,27,20,3,99,78,82,90,32,6,48,72,16,30,10,10,30,66,30,26,86,56,24,34,96,102,102,84,98
104,96,15,3,16,30,23,0,34,52,16,82,32,28,38,14,38,58,90,80,60,46,26,22,88,8,4,8,100,34,46,20,54,58
0,47,80,91,44,26,69,98,32,59,46,96,56,74,36,22,28,104,50,60,88,86,96,22,24,24,14,70,2,18,14,100,34,72
40,42,11,9,74,62,8,6,77,8,80,62,50,88,0,20,34,20,52,22,26,96,78,16,58,76,20,86,84,68,4,102,104,26
45,90,75,97,54,60,92,82,16,33,90,80,70,82,6,46,92,34,56,76,42,44,84,30,34,66,80,8,10,66,0,98,104,46
103,87,52,77,62,32,71,20,37,80,12,0,22,36,74,54,74,68,92,94,14,96,76,90,74,10,44,32,30,18,52,26,14,32
62,101,65,23,90,30,40,64,24,51,58,66,72,8,72,10,62,76,90,2,44,102,80,34,44,102,0,52,12,60,84,86,96,22
71,70,75,2,24,24,61,14,14,50,98,32,74,54,14,48,72,94,96,12,80,18,22,20,48,100,72,38,98,68,62,90,28,60
58,12,76,62,8,60,80,10,75,47,18,26,48,64,0,104,50,66,100,22,24,90,84,24,52,74,84,30,54,68,74,54,72,96
30,82,31,9,2,20,69,48,10,74,18,26,96,52,62,16,98,44,42,6,74,78,66,56,86,34,68,62,6,28,52,22,100,12
50,57,58,59,62,38,3,100,103,101,54,6,34,82,36,98,66,56,64,44,94,58,70,4,68,4,102,62,90,92,84,90,4,62
6,33,90,21,44,82,34,44,45,74,8,6,64,24,80,56,54,6,10,68,22,94,2,22,22,20,54,58,50,92,42,0,30,28
90,72,59,6,32,18,50,10,70,15,74,34,6,64,70,8,94,4,26,10,26,44,78,34,80,44,0,80,52,86,48,48,22,28
51,11,15,97,24,58,25,64,57,64,92,82,22,54,24,2,64,20,26,72,94,38,86,68,10,64,44,92,74,66,6,16,74,14
64,104,17,50,84,84,6,68,15,94,104,74,66,50,20,92,76,12,86,12,36,4,58,0,102,36,66,6,52,30,80,46,32,60
35,80,79,15,42,50,41,99,51,34,92,30,16,28,26,86,38,56,26,98,100,94,102,58,32,58,38,66,8,72,0,42,12,22
59,20,5,94,92,54,18,84,63,41,94,30,0,86,52,54,72,28,90,20,6,2,24,2,80,56,0,76,36,6,84,36,104,54
88,85,79,1,72,68,7,14,59,52,102,98,80,74,4,100,64,12,88,24,34,86,70,40,46,84,58,6,26,58,48,52,48,16
64,42,104,60,14,60,46,48,81,60,16,44,58,66,56,104,10,24,74,70,26,2,36,18,80,40,48,58,2,4,94,102,6,98
79,66,84,87,6,46,41,21,40,20,96,32,54,94,18,64,60,104,14,14,22,88,86,66,66,6,84,70,10,6,38,56,98,92
17,87,14,3,6,54,68,8,83,95,62,22,72,40,68,104,4,32,46,18,58,36,48,36,72,22,6,50,18,64,54,72,32,50
102,38,8,50,10,2,77,24,55,18,24,68,100,70,46,48,52,20,54,86,86,24,10,44,60,10,88,4,24,82,92,0,30,80
68,72,45,19,44,26,55,40,96,17,50,70,78,102,44,90,16,88,12,92,4,32,58,58,28,90,12,18,76,12,90,34,30,20
103,85,102,40,62,10,15,58,33,65,80,32,8,72,100,102,68,96,44,74,80,66,50,6,96,20,30,12,98,76,6,74,38,78
24,38,70,90,100,14,45,90,80,71,40,38,34,80,84,32,64,96,30,94,52,8,6,72,0,70,50,6,72,38,94,22,22,54
31,21,102,39,56,52,55,29,11,70,22,88,34,88,70,98,32,78,102,14,42,6,72,4,102,32,14,42,60,56,18,16,66,92
36,42,29,102,72,84,76,37,74,53,18,14,2,104,14,10,58,6,82,22,14,98,96,60,40,58,100,18,18,24,54,36,28,86
71,87,38,23,34,8,84,50,70,53,16,98,62,22,84,44,18,54,34,98,76,82,56,22,36,12,28,32,16,44,4,14,96,12
